school.province,MOOE_Diff,Schools_Income,Urbanization,Schools_Enrollment,Schools_Rooms,Schools_Teachers,Student_Teacher_Ratio,Room_Utilization
ABRA,4169800.0,7595000000,1.831715210355987,48120.0,1663.0,1901.0,24.292022354884303,26.41666863971309
AGUSAN DEL NORTE,11770200.0,58460000000,2.0,144814.0,2772.0,3826.0,44.52309101697499,47.96715010906784
AGUSAN DEL SUR,15079400.0,41120000000,2.0,176156.0,3484.0,4301.0,47.345127303290674,49.758840418949866
AKLAN,12621200.0,13235000000,2.0572916666666665,117229.0,3083.0,3742.0,33.18652446091527,36.433974211452856
ALBAY,24209800.0,67445000000,2.046676096181047,327263.0,7700.0,9035.0,36.7202643645276,39.206970427075525
ANTIQUE,13057800.0,19840000000,2.0,135833.0,3504.0,4371.0,32.68432768445878,37.85655765168252
APAYAO,2699800.0,7930000000,1.7094972067039107,25917.0,814.0,898.0,33.509232368103014,33.41188813147062
AURORA,5421400.0,7100000000,1.896341463414634,50344.0,1306.0,1458.0,35.54189619028725,35.96838684407643
BATAAN,13292400.0,13480000000,2.0,150114.0,3356.0,3801.0,40.98047614070281,42.08358036066433
BATANES,2433000.0,475000000,1.8214285714285714,3967.0,220.0,344.0,9.480730241321217,14.172863611256465
BATANGAS,49634800.0,124950000000,2.2181818181818183,499355.0,8783.0,12176.0,41.14783481560772,59.55232607425691
BENGUET,11140600.0,37385000000,1.7775280898876404,123501.0,3373.0,4119.0,27.690446327391548,28.73401020685922
BILIRAN,4612600.0,3810000000,2.0,45504.0,1332.0,1411.0,31.179062961840756,31.145026505925088
BOHOL,27122800.0,41240000000,1.9188156638013372,280898.0,6590.0,8219.0,36.93764877205702,41.11393278829975
BUKIDNON,24769000.0,77865000000,2.0,312545.0,6199.0,7203.0,44.99882489908846,47.888592149322754
BULACAN,55365400.0,62305000000,2.539344262295082,553865.0,9701.0,12584.0,47.40317473800258,54.029200023526556
CAGAYAN,26106800.0,44090000000,1.9850746268656716,235464.0,6369.0,7671.0,33.819122089005994,34.626773869909975
CAMARINES NORTE,11861800.0,13605000000,2.094155844155844,146658.0,3165.0,3657.0,40.048062055039566,43.39120757479471
CAMARINES SUR,42174200.0,68235000000,2.018884892086331,494599.0,10236.0,12244.0,42.80591624061964,47.729483838044416
CAMIGUIN,1809200.0,1700000000,1.876923076923077,21021.0,588.0,720.0,30.09164723557076,33.22233265950737
CAPIZ,16998800.0,32710000000,2.0970873786407767,168747.0,4793.0,5803.0,29.737488307099923,33.216484728617495
CATANDUANES,7309000.0,9080000000,2.0,68712.0,2124.0,2664.0,25.586624376138055,29.910056745511085
CAVITE,49526600.0,43790000000,2.544392523364486,548609.0,6939.0,11950.0,47.380606523112064,74.27834895037849
CEBU,73503600.0,158165000000,2.2080838323353293,860236.0,15139.0,20713.0,47.09660193099106,51.990327130099
CITY OF COTABATO,4783200.0,9800000000,3.0,49144.0,818.0,1325.0,44.78026131061682,62.257819373703306
CITY OF ISABELA,2024000.0,10200000000,2.0,25878.0,542.0,962.0,29.244993028370136,56.25420741669547
COMPOSTELA VALLEY,12539800.0,19755000000,2.0,166573.0,3400.0,4081.0,42.565209735904546,45.95249285839347
DAVAO DEL NORTE,14736400.0,51595000000,1.952802359882006,218782.0,3981.0,4955.0,45.95514325635183,52.315702476047214
DAVAO DEL SUR,35494800.0,171655000000,1.9775840597758405,522966.0,9438.0,12240.0,45.31861238134423,51.21372327338468
DAVAO ORIENTAL,10016000.0,14285000000,1.8448275862068966,105586.0,2090.0,2810.0,39.50499586032691,55.80594752374961
DINAGAT ISLANDS,1307600.0,1540000000,1.6363636363636365,10645.0,279.0,357.0,33.13485558348462,36.16897546897547
EASTERN SAMAR,12440400.0,20065000000,1.9750479846449136,120173.0,3350.0,3843.0,32.65317663677442,32.56176760548468
GUIMARAS,3195400.0,4230000000,1.7105263157894737,37317.0,1024.0,1173.0,32.02116120998474,34.34512459735479
IFUGAO,3658800.0,7420000000,1.482905982905983,40286.0,1269.0,1454.0,29.77269414540214,31.751930011027003
ILOCOS NORTE,9773400.0,35875000000,1.962174940898345,105986.0,3200.0,3933.0,27.94040911227207,30.62856937188566
ILOCOS SUR,11481200.0,29020000000,1.9184782608695652,127743.0,3882.0,4731.0,26.91193750686134,30.322239888403093
ILOILO,45909400.0,84360000000,1.950597609561753,508989.0,12729.0,15379.0,35.59205508300997,37.08196762490086
ISABELA,30434600.0,75385000000,1.9586466165413534,311676.0,8398.0,9677.0,34.59292905552733,35.37882545422109
KALINGA,3885600.0,5580000000,1.769736842105263,22125.0,585.0,850.0,30.426372586708446,44.49112846218109
LA UNION,13338600.0,24590000000,2.0,143662.0,3859.0,4543.0,33.29959290284705,34.54843029010312
LAGUNA,46026200.0,93360000000,2.543599257884972,507867.0,8263.0,11605.0,46.48887283210462,57.035883473964766
LANAO DEL NORTE,13919800.0,49440000000,1.8705357142857142,189950.0,4150.0,5366.0,42.025511427935676,47.06919161472593
