school.region,MOOE_Diff,Schools_Income,Urbanization,Schools_Enrollment,Schools_Rooms,Schools_Teachers,Student_Teacher_Ratio,Room_Utilization
CAR,30126600.0,73860000000,1.7114649681528662,293982.0,8929.0,10801.0,27.630030284851486,31.244513319694782
CARAGA,50327800.0,165070000000,1.9785755645628258,561259.0,11925.0,15813.0,40.294777053466305,45.06107405439905
NCR,144034400.0,181655000000,3.0,1236876.0,13839.0,32905.0,39.99060827089596,93.80711894351143
Region 01,97015200.0,218610000000,2.0716282320055903,1027023.0,26165.0,32231.0,32.50322533307371,36.843872919577606
Region 02,70475800.0,145200000000,1.9691056910569105,683670.0,18827.0,21897.0,33.61128234915712,34.02825224823309
Region 03,202060800.0,331300000000,2.1410630841121496,2066200.0,42760.0,52657.0,40.507643655432055,44.49092806786423
Region 04A,226992800.0,363645000000,2.293092719352831,2521304.0,39869.0,58067.0,43.57627169486853,58.4592764384174
Region 04B,66410200.0,140300000000,1.9381044487427466,716860.0,16515.0,19369.0,40.409553411850375,43.066290020045436
Region 05,129156000.0,237925000000,2.022335844994618,1507911.0,33941.0,40265.0,39.11436315066068,42.87600928395933
Region 06,142936600.0,373445000000,2.0129969418960245,1652047.0,40583.0,49216.0,34.909481835241756,38.04752975415997
Region 07,123722400.0,279710000000,2.068998410174881,1412273.0,28248.0,37044.0,41.65386323495946,45.79223469593653
Region 08,103283400.0,268955000000,1.9667953667953668,1035934.0,27012.0,30543.0,37.414190538972896,37.99274109343
Region 09,69443600.0,220300000000,1.9478813559322035,848366.0,20946.0,23649.0,39.30497720061682,39.28429521111819
Region 10,82349400.0,260240000000,1.9902135231316727,958806.0,19589.0,25254.0,39.57881590758258,46.67087987449734
Region 11,72787000.0,257290000000,1.9562569213732004,1013907.0,18909.0,24086.0,43.93437239581718,51.06843855970908
Region 12,75420400.0,172190000000,1.9821063394683027,964067.0,18621.0,23684.0,48.39669135407605,52.16775453930206
