school.region,student_teacher_ratio,school.cityincome
NCR,32.717274,2.04E+11
CAR,23.987347,83700000000
Region 01,27.812803,2.24E+11
Region 02,28.668807,1.56E+11
Region 03,34.688697,3.59E+11
Region 04A,37.240026,3.84E+11
Region 04B,34.562639,1.48E+11
Region 05,33.661076,2.44E+11
Region 06,29.956135,3.91E+11
Region 07,36.391674,3.28E+11
Region 08,31.95132,2.88E+11
Region 09,34.12932,2.30E+11
Region 10,34.391027,2.85E+11
Region 11,37.934536,2.66E+11
Region 12,42.979237,1.90E+11
CARAGA,34.590768,1.82E+11
ARMM,57.662218,98920000000
